"","2016","2017","2018","2019","2020"
"January","143","50","1","110","668"
"February","211","35","1","288","690"
"March","560","109",NA,"1.359","882"
"April","277","14","4","1.359","400"
"May","348","9",NA,"850","438"
"June","421","16","1","1.339","811"
"July","244","3",NA,"984","1.396"
"August","180","2","1","567","702"
"September","283","3","8","1.078","956"
"October","113","1","20","760",NA
"November","76",NA,"61","456",NA
"December","150","2","28","531",NA
