"","2016","2017","2018","2019","2020"
"January","110","84","64","170","46"
"February","109","47","49","58","47"
"March","222","162","166","140","50"
"April","158","93","106","140","32"
"May","145","83","219","91","40"
"June","131","96","279","70","99"
"July","125","62","117","110","101"
"August","102","47","94","58","65"
"September","120","72","152","69","39"
"October","86","74","123","73",NA
"November","103","101","73","33",NA
"December","106","67","64","65",NA
