Date,Open,High,Low,Close,Adj Close,Volume
1996-11-01,18.209999,19.724001,18.082001,19.691999,8.524739,11128000
1996-12-01,19.684999,21.415001,19.389999,21.042000,9.109160,11986000
1997-01-01,20.667999,22.122999,20.058001,20.629000,8.930371,16887000
1997-02-01,20.589001,23.972000,20.275000,22.379000,9.687954,14716000
1997-03-01,22.231001,27.138000,22.222000,26.351000,11.407444,22815000
1997-04-01,25.761000,29.301001,23.716000,28.111000,12.169358,26897000
1997-05-01,28.377001,30.284000,26.862000,27.334000,11.832989,10764000
1997-06-01,27.236000,28.785999,26.806999,27.964001,12.105721,16424200
1997-07-01,28.082001,30.461000,27.629000,29.104000,12.599230,19804200
1997-08-01,29.222000,29.497999,24.580999,25.073000,10.854193,20862400
1997-09-01,24.896000,29.959999,24.886000,29.360001,12.710051,74024600
1997-10-01,29.458000,29.792999,19.704000,24.934999,10.794452,70127200
1997-11-01,25.368000,26.528000,21.986000,26.153999,11.322162,53552200
1997-12-01,26.528000,28.495001,23.716000,26.351000,11.407444,9799400
1998-01-01,26.448999,29.104000,24.188000,28.672001,12.412215,14500200
1998-02-01,29.006001,36.577000,28.694000,36.282001,15.706614,23233600
1998-03-01,36.361000,42.477001,35.514999,40.332001,17.459873,25188800
1998-04-01,39.904999,44.227001,37.069000,39.763000,17.213551,16354000
1998-05-01,39.723000,41.297001,33.036999,36.084999,15.621332,16229200
1998-06-01,36.183998,39.959000,33.415001,35.750999,15.476740,21031400
1998-07-01,36.083000,39.173000,32.938999,34.757999,15.046866,36696801
1998-08-01,33.528999,33.626999,25.624001,25.643000,11.100948,44088304
1998-09-01,24.521999,27.197001,19.330999,20.865000,9.032535,63755150
1998-10-01,20.254999,23.893000,17.798000,22.517000,9.747694,59208307
1998-11-01,22.812000,27.256001,20.059000,25.545000,11.058524,46772504
1998-12-01,25.171000,25.917999,19.889000,24.757999,10.717832,54863704
1999-01-01,23.885000,29.615000,22.500000,23.962000,10.373240,34229894
1999-02-01,23.851999,29.403999,23.544001,25.500000,11.039045,55773805
1999-03-01,25.539000,25.768999,22.579000,23.308001,10.090118,47810185
1999-04-01,23.039000,26.481001,22.885000,25.344999,10.971943,31004540
1999-05-01,25.846001,27.191999,23.268999,23.281000,10.078432,21901162
1999-06-01,23.444000,27.308001,23.197001,25.712000,11.130821,43205352
1999-07-01,26.226999,28.846001,25.423000,27.000000,11.688402,37280680
1999-08-01,28.346001,30.370001,26.173000,30.000000,12.987115,28654692
1999-09-01,29.610001,32.689999,26.320000,27.040001,11.705716,27288818
1999-10-01,26.750000,31.240000,26.309999,31.000000,13.420019,20645704
1999-11-01,30.500000,31.400000,25.500000,25.780001,11.160254,27386497
1999-12-01,26.480000,31.000000,26.260000,31.000000,13.420019,30245576
2000-01-01,31.000000,32.000000,23.100000,23.600000,10.216528,33262328
2000-02-01,24.090000,28.600000,23.410000,26.660000,11.541213,43108580
2000-03-01,27.010000,35.400002,24.900000,33.150002,14.350761,85286299
2000-04-01,33.430000,33.939999,27.400000,29.600000,12.813951,27540281
2000-05-01,29.600000,35.189999,29.600000,32.599998,14.112660,25299282
2000-06-01,32.150002,34.980000,30.750000,31.600000,13.845072,29532567
2000-07-01,31.700001,38.660000,31.200001,36.700001,16.079563,22686339
2000-08-01,38.299999,38.349998,35.200001,36.549999,16.013840,18438150
2000-09-01,36.099998,39.349998,35.619999,38.799999,16.999645,21252894
2000-10-01,38.599998,41.770000,36.610001,38.040001,16.666666,19196331
2000-11-01,38.959999,40.740002,33.310001,34.430000,15.084995,23654437
2000-12-01,34.299999,37.250000,31.920000,34.900002,15.290918,22129399
2001-01-01,34.900002,39.389999,32.400002,37.299999,16.342442,21749491
2001-02-01,37.490002,40.500000,37.220001,38.060001,16.675426,18633296
2001-03-01,37.669998,39.689999,31.020000,34.570000,15.146337,54785855
2001-04-01,34.849998,38.490002,33.220001,37.400002,16.386259,23344255
2001-05-01,37.400002,42.250000,37.400002,40.110001,17.573599,33345825
2001-06-01,40.299999,41.509998,37.470001,39.099998,17.329376,26023574
2001-07-01,38.570000,40.900002,37.959999,40.490002,17.945436,31111657
2001-08-01,40.529999,41.820000,33.700001,35.150002,15.578717,45713788
2001-09-01,34.959999,38.349998,21.650000,28.030001,12.423083,68457701
2001-10-01,28.139999,35.500000,26.760000,33.000000,14.625819,40784619
2001-11-01,33.549999,39.939999,32.200001,35.490002,15.729404,45261005
2001-12-01,37.000000,39.849998,36.299999,39.150002,17.351542,28164151
2002-01-01,39.150002,42.939999,36.770000,42.849998,18.991409,46995576
2002-02-01,42.650002,43.290001,39.500000,42.849998,18.991409,35356309
2002-03-01,42.400002,47.869999,42.209999,45.900002,21.367401,45346384
