month;year;Model;Sales
6;2018;BMW i8;279
7;2018;BMW i8;117
8;2018;BMW i8;94
9;2018;BMW i8;152
10;2018;BMW i8;123
11;2018;BMW i8;73
12;2018;BMW i8;64
1;2019;BMW i8;170
2;2019;BMW i8;58
3;2019;BMW i8;140
4;2019;BMW i8;140
5;2019;BMW i8;91
6;2019;BMW i8;70
7;2019;BMW i8;110
8;2019;BMW i8;58
9;2019;BMW i8;69
10;2019;BMW i8;73
11;2019;BMW i8;33
12;2019;BMW i8;65
1;2020;BMW i8;46
2;2020;BMW i8;47
3;2020;BMW i8;50
4;2020;BMW i8;32
5;2020;BMW i8;40
6;2020;BMW i8;99
7;2020;BMW i8;101
8;2020;BMW i8;65
9;2020;BMW i8;39
10;2020;BMW i8;NA
11;2020;BMW i8;NA
12;2020;BMW i8;NA
1;2018;BMW 8-series;NA
2;2018;BMW 8-series;NA
3;2018;BMW 8-series;NA
4;2018;BMW 8-series;NA
5;2018;BMW 8-series;NA
6;2018;BMW 8-series;NA
7;2018;BMW 8-series;NA
8;2018;BMW 8-series;157
9;2018;BMW 8-series;67
10;2018;BMW 8-series;189
11;2018;BMW 8-series;573
12;2018;BMW 8-series;313
1;2019;BMW 8-series;333
2;2019;BMW 8-series;297
3;2019;BMW 8-series;726
4;2019;BMW 8-series;820
5;2019;BMW 8-series;489
6;2019;BMW 8-series;549
7;2019;BMW 8-series;757
8;2019;BMW 8-series;270
9;2019;BMW 8-series;412
10;2019;BMW 8-series;623
11;2019;BMW 8-series;668
12;2019;BMW 8-series;696
1;2020;BMW 8-series;631
2;2020;BMW 8-series;642
3;2020;BMW 8-series;830
4;2020;BMW 8-series;263
5;2020;BMW 8-series;375
6;2020;BMW 8-series;920
7;2020;BMW 8-series;910
8;2020;BMW 8-series;620
9;2020;BMW 8-series;898
10;2020;BMW 8-series;NA
11;2020;BMW 8-series;NA
12;2020;BMW 8-series;NA
1;2017;BMW X2;NA
2;2017;BMW X2;NA
3;2017;BMW X2;NA
4;2017;BMW X2;NA
5;2017;BMW X2;NA
6;2017;BMW X2;NA
7;2017;BMW X2;NA
8;2017;BMW X2;NA
9;2017;BMW X2;NA
10;2017;BMW X2;10
11;2017;BMW X2;211
12;2017;BMW X2;24
1;2018;BMW X2;509
2;2018;BMW X2;905
3;2018;BMW X2;2459
4;2018;BMW X2;2263
5;2018;BMW X2;3009
6;2018;BMW X2;4271
7;2018;BMW X2;3100
8;2018;BMW X2;3173
9;2018;BMW X2;4773
10;2018;BMW X2;4020
11;2018;BMW X2;4259
12;2018;BMW X2;3743
1;2019;BMW X2;2974
2;2019;BMW X2;2970
3;2019;BMW X2;4800
4;2019;BMW X2;3805
5;2019;BMW X2;3785
6;2019;BMW X2;4789
7;2019;BMW X2;3814
8;2019;BMW X2;2571
9;2019;BMW X2;3534
10;2019;BMW X2;4338
11;2019;BMW X2;3781
12;2019;BMW X2;3965
1;2020;BMW X2;3003
2;2020;BMW X2;2610
3;2020;BMW X2;2290
4;2020;BMW X2;968
5;2020;BMW X2;1379
6;2020;BMW X2;3152
7;2020;BMW X2;4831
8;2020;BMW X2;2855
9;2020;BMW X2;2279
10;2020;BMW X2;NA
11;2020;BMW X2;NA
12;2020;BMW X2;NA
1;2019;BMW X7;37
2;2019;BMW X7;33
3;2019;BMW X7;87
4;2019;BMW X7;237
5;2019;BMW X7;729
6;2019;BMW X7;580
7;2019;BMW X7;494
8;2019;BMW X7;314
9;2019;BMW X7;575
10;2019;BMW X7;491
11;2019;BMW X7;523
12;2019;BMW X7;543
1;2020;BMW X7;531
2;2020;BMW X7;333
3;2020;BMW X7;404
4;2020;BMW X7;355
5;2020;BMW X7;454
6;2020;BMW X7;450
7;2020;BMW X7;454
8;2020;BMW X7;493
9;2020;BMW X7;690
10;2020;BMW X7;NA
11;2020;BMW X7;NA
12;2020;BMW X7;NA
