year;brand;satisfactionScore
2005;Subaru;NA
2006;Subaru;NA
2007;Subaru;NA
2008;Subaru;NA
2009;Subaru;NA
2010;Subaru;NA
2011;Subaru;NA
2012;Subaru;87
2013;Subaru;86
2014;Subaru;85
2015;Subaru;82
2016;Subaru;84
2017;Subaru;85
2018;Subaru;84
2019;Subaru;82
2020;Subaru;79
1995;Dodge;77
1996;Dodge;77
1997;Dodge;77
1998;Dodge;78
1999;Dodge;75
2000;Dodge;81
2001;Dodge;77
2002;Dodge;78
2003;Dodge;78
2004;Dodge;75
2005;Dodge;78
2006;Dodge;78
2007;Dodge;80
2008;Dodge;78
2009;Dodge;81
2010;Dodge;78
2011;Dodge;79
2012;Dodge;81
2013;Dodge;79
2014;Dodge;78
2015;Dodge;76
2016;Dodge;78
2017;Dodge;75
2018;Dodge;77
2019;Dodge;74
2020;Dodge;75
1995;Automobiles and Light Vehicles;80
1996;Automobiles and Light Vehicles;79
1997;Automobiles and Light Vehicles;79
1998;Automobiles and Light Vehicles;79
1999;Automobiles and Light Vehicles;78
2000;Automobiles and Light Vehicles;80
2001;Automobiles and Light Vehicles;80
2002;Automobiles and Light Vehicles;80
2003;Automobiles and Light Vehicles;80
2004;Automobiles and Light Vehicles;79
2005;Automobiles and Light Vehicles;80
2006;Automobiles and Light Vehicles;81
2007;Automobiles and Light Vehicles;82
2008;Automobiles and Light Vehicles;82
2009;Automobiles and Light Vehicles;84
2010;Automobiles and Light Vehicles;82
2011;Automobiles and Light Vehicles;83
2012;Automobiles and Light Vehicles;84
2013;Automobiles and Light Vehicles;83
2014;Automobiles and Light Vehicles;82
2015;Automobiles and Light Vehicles;79
2016;Automobiles and Light Vehicles;82
2017;Automobiles and Light Vehicles;81
2018;Automobiles and Light Vehicles;82
2019;Automobiles and Light Vehicles;79
2020;Automobiles and Light Vehicles;78
1995;Lincoln;84
1996;Lincoln;80
1997;Lincoln;81
1998;Lincoln;83
1999;Lincoln;82
2000;Lincoln;85
2001;Lincoln;82
2002;Lincoln;84
2003;Lincoln;81
2004;Lincoln;86
2005;Lincoln;83
2006;Lincoln;83
2007;Lincoln;86
2008;Lincoln;83
2009;Lincoln;88
2010;Lincoln;89
2011;Lincoln;86
2012;Lincoln;90
2013;Lincoln;NA
2014;Lincoln;NA
2015;Lincoln;83
2016;Lincoln;87
2017;Lincoln;83
2018;Lincoln;84
2019;Lincoln;82
2020;Lincoln;77
1995;Mazda;77
1996;Mazda;75
1997;Mazda;74
1998;Mazda;77
1999;Mazda;76
2000;Mazda;78
2001;Mazda;78
2002;Mazda;81
2003;Mazda;82
2004;Mazda;78
2005;Mazda;80
2006;Mazda;79
2007;Mazda;78
2008;Mazda;80
2009;Mazda;81
2010;Mazda;80
2011;Mazda;79
2012;Mazda;82
2013;Mazda;82
2014;Mazda;80
2015;Mazda;80
2016;Mazda;80
2017;Mazda;82
2018;Mazda;80
2019;Mazda;77
2020;Mazda;78
1995;Jeep;77
1996;Jeep;76
1997;Jeep;74
1998;Jeep;77
1999;Jeep;77
2000;Jeep;75
2001;Jeep;76
2002;Jeep;79
2003;Jeep;79
2004;Jeep;77
2005;Jeep;78
2006;Jeep;77
2007;Jeep;75
2008;Jeep;76
2009;Jeep;79
2010;Jeep;77
2011;Jeep;79
2012;Jeep;83
2013;Jeep;80
2014;Jeep;79
2015;Jeep;75
2016;Jeep;78
2017;Jeep;80
2018;Jeep;80
2019;Jeep;76
2020;Jeep;76
1995;Chevrolet;79
1996;Chevrolet;79
1997;Chevrolet;78
1998;Chevrolet;79
1999;Chevrolet;76
2000;Chevrolet;80
2001;Chevrolet;78
2002;Chevrolet;78
2003;Chevrolet;79
2004;Chevrolet;77
2005;Chevrolet;78
2006;Chevrolet;81
2007;Chevrolet;82
2008;Chevrolet;79
2009;Chevrolet;83
2010;Chevrolet;80
2011;Chevrolet;82
2012;Chevrolet;84
2013;Chevrolet;79
2014;Chevrolet;82
2015;Chevrolet;79
2016;Chevrolet;83
2017;Chevrolet;81
2018;Chevrolet;79
2019;Chevrolet;80
2020;Chevrolet;76
1995;Pontiac;79
1996;Pontiac;78
1997;Pontiac;78
1998;Pontiac;76
1999;Pontiac;78
2000;Pontiac;78
2001;Pontiac;78
2002;Pontiac;78
2003;Pontiac;76
2004;Pontiac;79
2005;Pontiac;80
2006;Pontiac;79
2007;Pontiac;80
2008;Pontiac;80
2009;Pontiac;81
2010;Pontiac;NA
2011;Pontiac;NA
2012;Pontiac;NA
2013;Pontiac;NA
2014;Pontiac;NA
2015;Pontiac;NA
2016;Pontiac;NA
2017;Pontiac;NA
2018;Pontiac;NA
2019;Pontiac;NA
2020;Pontiac;NA
1995;Ford;79
1996;Ford;78
1997;Ford;77
1998;Ford;77
1999;Ford;77
2000;Ford;77
2001;Ford;78
2002;Ford;78
