"","Date","Model","Sales"
"192","12 2016","BMW 3-series",11127
"193","1 2017","BMW 3-series",8423
"194","2 2017","BMW 3-series",10083
"195","3 2017","BMW 3-series",18949
"196","4 2017","BMW 3-series",10520
"197","5 2017","BMW 3-series",10707
"198","6 2017","BMW 3-series",13414
"199","7 2017","BMW 3-series",9506
"200","8 2017","BMW 3-series",7435
"201","9 2017","BMW 3-series",12017
"202","10 2017","BMW 3-series",7684
"203","11 2017","BMW 3-series",9877
"204","12 2017","BMW 3-series",10438
"205","1 2018","BMW 3-series",7955
"206","2 2018","BMW 3-series",7140
"207","3 2018","BMW 3-series",13371
"208","4 2018","BMW 3-series",8270
"209","5 2018","BMW 3-series",9001
"210","6 2018","BMW 3-series",11623
"211","7 2018","BMW 3-series",8823
"212","8 2018","BMW 3-series",7055
"213","9 2018","BMW 3-series",10085
"214","10 2018","BMW 3-series",9354
"215","11 2018","BMW 3-series",8360
"216","12 2018","BMW 3-series",5954
"217","1 2019","BMW 3-series",6872
"218","2 2019","BMW 3-series",6545
"219","3 2019","BMW 3-series",12748
"220","4 2019","BMW 3-series",10251
"221","5 2019","BMW 3-series",11466
"222","6 2019","BMW 3-series",11246
"223","7 2019","BMW 3-series",8527
"224","8 2019","BMW 3-series",6333
"225","9 2019","BMW 3-series",12805
"226","10 2019","BMW 3-series",11101
"227","11 2019","BMW 3-series",13233
"228","12 2019","BMW 3-series",13410
"229","1 2020","BMW 3-series",12543
"230","2 2020","BMW 3-series",10613
"231","3 2020","BMW 3-series",11772
"232","4 2020","BMW 3-series",4029
"233","5 2020","BMW 3-series",4053
"234","6 2020","BMW 3-series",9130
"235","7 2020","BMW 3-series",13192
"236","8 2020","BMW 3-series",7683
"237","9 2020","BMW 3-series",9137
"238","10 2020","BMW 3-series",NA
"239","11 2020","BMW 3-series",NA
"240","12 2020","BMW 3-series",NA
"241","1 2016","BMW 4-series",4019
"242","2 2016","BMW 4-series",4252
"243","3 2016","BMW 4-series",9413
"244","4 2016","BMW 4-series",6023
"245","5 2016","BMW 4-series",6323
"246","6 2016","BMW 4-series",7131
"247","7 2016","BMW 4-series",5039
"248","8 2016","BMW 4-series",3157
"249","9 2016","BMW 4-series",8188
"250","10 2016","BMW 4-series",5065
"251","11 2016","BMW 4-series",4746
"252","12 2016","BMW 4-series",4627
"253","1 2017","BMW 4-series",4194
"254","2 2017","BMW 4-series",3803
"255","3 2017","BMW 4-series",10055
"256","4 2017","BMW 4-series",5729
"257","5 2017","BMW 4-series",5746
"258","6 2017","BMW 4-series",6680
"259","7 2017","BMW 4-series",4302
"260","8 2017","BMW 4-series",3476
"261","9 2017","BMW 4-series",6761
"262","10 2017","BMW 4-series",5584
"263","11 2017","BMW 4-series",4144
"264","12 2017","BMW 4-series",4236
"265","1 2018","BMW 4-series",3674
"266","2 2018","BMW 4-series",3428
"267","3 2018","BMW 4-series",7878
"268","4 2018","BMW 4-series",4851
"269","5 2018","BMW 4-series",5522
"270","6 2018","BMW 4-series",5273
"271","7 2018","BMW 4-series",3574
"272","8 2018","BMW 4-series",2411
"273","9 2018","BMW 4-series",4965
"274","10 2018","BMW 4-series",3496
"275","11 2018","BMW 4-series",3894
"276","12 2018","BMW 4-series",3282
"277","1 2019","BMW 4-series",2631
"278","2 2019","BMW 4-series",2727
"279","3 2019","BMW 4-series",6108
"280","4 2019","BMW 4-series",3373
"281","5 2019","BMW 4-series",3472
"282","6 2019","BMW 4-series",3433
"283","7 2019","BMW 4-series",2641
"284","8 2019","BMW 4-series",1965
"285","9 2019","BMW 4-series",3176
"286","10 2019","BMW 4-series",2442
"287","11 2019","BMW 4-series",1787
"288","12 2019","BMW 4-series",2153
"289","1 2020","BMW 4-series",1537
"290","2 2020","BMW 4-series",1680
"291","3 2020","BMW 4-series",2069
"292","4 2020","BMW 4-series",600
"293","5 2020","BMW 4-series",721
"294","6 2020","BMW 4-series",1924
"295","7 2020","BMW 4-series",2021
"296","8 2020","BMW 4-series",1198
"297","9 2020","BMW 4-series",1626
"298","10 2020","BMW 4-series",NA
"299","11 2020","BMW 4-series",NA
"300","12 2020","BMW 4-series",NA
"301","1 2016","BMW 5-series",5198
"302","2 2016","BMW 5-series",6030
"303","3 2016","BMW 5-series",9258
"304","4 2016","BMW 5-series",7003
"305","5 2016","BMW 5-series",6876
"306","6 2016","BMW 5-series",7776
"307","7 2016","BMW 5-series",5979
"308","8 2016","BMW 5-series",4578
"309","9 2016","BMW 5-series",8732
"310","10 2016","BMW 5-series",5931
"311","11 2016","BMW 5-series",7862
"312","12 2016","BMW 5-series",6376
"313","1 2017","BMW 5-series",4792
"314","2 2017","BMW 5-series",6749
"315","3 2017","BMW 5-series",11274
"316","4 2017","BMW 5-series",6988
"317","5 2017","BMW 5-series",9847
"318","6 2017","BMW 5-series",11643
"319","7 2017","BMW 5-series",9198
"320","8 2017","BMW 5-series",8173
"321","9 2017","BMW 5-series",13593
"322","10 2017","BMW 5-series",8701
"323","11 2017","BMW 5-series",9012
"324","12 2017","BMW 5-series",9983
"325","1 2018","BMW 5-series",9899
"326","2 2018","BMW 5-series",7613
"327","3 2018","BMW 5-series",11856
"328","4 2018","BMW 5-series",9597
"329","5 2018","BMW 5-series",8505
"330","6 2018","BMW 5-series",11112
"331","7 2018","BMW 5-series",7843
"332","8 2018","BMW 5-series",5734
"333","9 2018","BMW 5-series",10007
"334","10 2018","BMW 5-series",8737
"335","11 2018","BMW 5-series",8222
"336","12 2018","BMW 5-series",9533
"337","1 2019","BMW 5-series",6507
"338","2 2019","BMW 5-series",6301
"339","3 2019","BMW 5-series",10990
"340","4 2019","BMW 5-series",7738
"341","5 2019","BMW 5-series",8285
"342","6 2019","BMW 5-series",7768
"343","7 2019","BMW 5-series",6280
"344","8 2019","BMW 5-series",4494
"345","9 2019","BMW 5-series",8012
"346","10 2019","BMW 5-series",7441
"347","11 2019","BMW 5-series",7129
"348","12 2019","BMW 5-series",8381
"349","1 2020","BMW 5-series",6206
"350","2 2020","BMW 5-series",6233
"351","3 2020","BMW 5-series",5266
"352","4 2020","BMW 5-series",2357
"353","5 2020","BMW 5-series",2446
"354","6 2020","BMW 5-series",4751
"355","7 2020","BMW 5-series",6057
"356","8 2020","BMW 5-series",4495
"357","9 2020","BMW 5-series",6549
"358","10 2020","BMW 5-series",NA
"359","11 2020","BMW 5-series",NA
"360","12 2020","BMW 5-series",NA
"361","1 2016","BMW 6-series",371
"362","2 2016","BMW 6-series",350
"363","3 2016","BMW 6-series",797
"364","4 2016","BMW 6-series",498
"365","5 2016","BMW 6-series",519
"366","6 2016","BMW 6-series",608
"367","7 2016","BMW 6-series",327
"368","8 2016","BMW 6-series",262
"369","9 2016","BMW 6-series",785
"370","10 2016","BMW 6-series",427
"371","11 2016","BMW 6-series",338
"372","12 2016","BMW 6-series",450
"373","1 2017","BMW 6-series",237
"374","2 2017","BMW 6-series",295
"375","3 2017","BMW 6-series",624
"376","4 2017","BMW 6-series",280
"377","5 2017","BMW 6-series",228
"378","6 2017","BMW 6-series",301
"379","7 2017","BMW 6-series",442
"380","8 2017","BMW 6-series",167
"381","9 2017","BMW 6-series",501
"382","10 2017","BMW 6-series",661
"383","11 2017","BMW 6-series",1031
"384","12 2017","BMW 6-series",843
"385","1 2018","BMW 6-series",846
"386","2 2018","BMW 6-series",888
"387","3 2018","BMW 6-series",1389
"388","4 2018","BMW 6-series",1096
"389","5 2018","BMW 6-series",898
"390","6 2018","BMW 6-series",1161
"391","7 2018","BMW 6-series",805
"392","8 2018","BMW 6-series",566
"393","9 2018","BMW 6-series",913
"394","10 2018","BMW 6-series",761
"395","11 2018","BMW 6-series",788
"396","12 2018","BMW 6-series",592
"397","1 2019","BMW 6-series",537
"398","2 2019","BMW 6-series",533
"399","3 2019","BMW 6-series",780
"400","4 2019","BMW 6-series",557
"401","5 2019","BMW 6-series",530
"402","6 2019","BMW 6-series",428
"403","7 2019","BMW 6-series",407
"404","8 2019","BMW 6-series",365
"405","9 2019","BMW 6-series",327
"406","10 2019","BMW 6-series",320
"407","11 2019","BMW 6-series",282
"408","12 2019","BMW 6-series",296
"409","1 2020","BMW 6-series",209
"410","2 2020","BMW 6-series",247
"411","3 2020","BMW 6-series",204
"412","4 2020","BMW 6-series",111
"413","5 2020","BMW 6-series",97
"414","6 2020","BMW 6-series",173
"415","7 2020","BMW 6-series",230
"416","8 2020","BMW 6-series",165
"417","9 2020","BMW 6-series",171
"418","10 2020","BMW 6-series",NA
"419","11 2020","BMW 6-series",NA
"420","12 2020","BMW 6-series",NA
"421","1 2016","BMW 7-series",845
"422","2 2016","BMW 7-series",815
"423","3 2016","BMW 7-series",1439
"424","4 2016","BMW 7-series",1273
"425","5 2016","BMW 7-series",1132
"426","6 2016","BMW 7-series",1523
"427","7 2016","BMW 7-series",997
"428","8 2016","BMW 7-series",722
"429","9 2016","BMW 7-series",1356
"430","10 2016","BMW 7-series",1092
"431","11 2016","BMW 7-series",1036
"432","12 2016","BMW 7-series",1090
"433","1 2017","BMW 7-series",847
"434","2 2017","BMW 7-series",833
"435","3 2017","BMW 7-series",1593
"436","4 2017","BMW 7-series",946
"437","5 2017","BMW 7-series",1096
"438","6 2017","BMW 7-series",1136
"439","7 2017","BMW 7-series",872
"440","8 2017","BMW 7-series",699
"441","9 2017","BMW 7-series",1205
"442","10 2017","BMW 7-series",651
"443","11 2017","BMW 7-series",827
"444","12 2017","BMW 7-series",828
"445","1 2018","BMW 7-series",868
"446","2 2018","BMW 7-series",762
"447","3 2018","BMW 7-series",1256
"448","4 2018","BMW 7-series",842
"449","5 2018","BMW 7-series",741
"450","6 2018","BMW 7-series",1040
"451","7 2018","BMW 7-series",669
"452","8 2018","BMW 7-series",544
"453","9 2018","BMW 7-series",799
"454","10 2018","BMW 7-series",711
"455","11 2018","BMW 7-series",657
"456","12 2018","BMW 7-series",663
"457","1 2019","BMW 7-series",484
"458","2 2019","BMW 7-series",695
"459","3 2019","BMW 7-series",1032
"460","4 2019","BMW 7-series",1027
"461","5 2019","BMW 7-series",903
"462","6 2019","BMW 7-series",916
"463","7 2019","BMW 7-series",823
"464","8 2019","BMW 7-series",485
"465","9 2019","BMW 7-series",745
"466","10 2019","BMW 7-series",746
"467","11 2019","BMW 7-series",637
"468","12 2019","BMW 7-series",755
"469","1 2020","BMW 7-series",633
"470","2 2020","BMW 7-series",580
"471","3 2020","BMW 7-series",611
"472","4 2020","BMW 7-series",251
"473","5 2020","BMW 7-series",274
"474","6 2020","BMW 7-series",469
"475","7 2020","BMW 7-series",695
"476","8 2020","BMW 7-series",473
"477","9 2020","BMW 7-series",731
"478","10 2020","BMW 7-series",NA
"479","11 2020","BMW 7-series",NA
"480","12 2020","BMW 7-series",NA
"481","1 2016","BMW X1",6242
"482","2 2016","BMW X1",6236
"483","3 2016","BMW X1",9687
"484","4 2016","BMW X1",7795
"485","5 2016","BMW X1",7879
"486","6 2016","BMW X1",8818
"487","7 2016","BMW X1",7555
"488","8 2016","BMW X1",6653
"489","9 2016","BMW X1",7825
"490","10 2016","BMW X1",8252
"491","11 2016","BMW X1",9194
"492","12 2016","BMW X1",9244
"493","1 2017","BMW X1",11869
"494","2 2017","BMW X1",8791
"495","3 2017","BMW X1",12913
"496","4 2017","BMW X1",9324
"497","5 2017","BMW X1",10035
"498","6 2017","BMW X1",7125
"499","7 2017","BMW X1",6663
"500","8 2017","BMW X1",7898
"501","9 2017","BMW X1",12155
"502","10 2017","BMW X1",9520
"503","11 2017","BMW X1",10718
"504","12 2017","BMW X1",11040
"505","1 2018","BMW X1",9248
"506","2 2018","BMW X1",8661
"507","3 2018","BMW X1",13809
"508","4 2018","BMW X1",8382
"509","5 2018","BMW X1",9623
"510","6 2018","BMW X1",12287
"511","7 2018","BMW X1",7580
"512","8 2018","BMW X1",6107
"513","9 2018","BMW X1",8489
"514","10 2018","BMW X1",9043
"515","11 2018","BMW X1",9215
"516","12 2018","BMW X1",9052
"517","1 2019","BMW X1",8110
"518","2 2019","BMW X1",6894
"519","3 2019","BMW X1",12047
"520","4 2019","BMW X1",9679
"521","5 2019","BMW X1",9156
"522","6 2019","BMW X1",11249
"523","7 2019","BMW X1",7828
"524","8 2019","BMW X1",6205
"525","9 2019","BMW X1",8501
"526","10 2019","BMW X1",9528
"527","11 2019","BMW X1",9509
"528","12 2019","BMW X1",9801
"529","1 2020","BMW X1",7901
"530","2 2020","BMW X1",6733
"531","3 2020","BMW X1",5975
"532","4 2020","BMW X1",2807
"533","5 2020","BMW X1",3668
"534","6 2020","BMW X1",8573
"535","7 2020","BMW X1",11448
"536","8 2020","BMW X1",6823
"537","9 2020","BMW X1",6787
"538","10 2020","BMW X1",NA
"539","11 2020","BMW X1",NA
"540","12 2020","BMW X1",NA
"541","1 2016","BMW X3",3648
"542","2 2016","BMW X3",2762
"543","3 2016","BMW X3",5294
"544","4 2016","BMW X3",3746
"545","5 2016","BMW X3",3951
"546","6 2016","BMW X3",4990
"547","7 2016","BMW X3",3645
"548","8 2016","BMW X3",2627
"549","9 2016","BMW X3",5375
"550","10 2016","BMW X3",3817
"551","11 2016","BMW X3",3749
"552","12 2016","BMW X3",3851
"553","1 2017","BMW X3",2916
"554","2 2017","BMW X3",2536
"555","3 2017","BMW X3",5081
"556","4 2017","BMW X3",3195
"557","5 2017","BMW X3",3459
"558","6 2017","BMW X3",4494
"559","7 2017","BMW X3",2877
"560","8 2017","BMW X3",2361
"561","9 2017","BMW X3",5561
"562","10 2017","BMW X3",2269
"563","11 2017","BMW X3",3680
"564","12 2017","BMW X3",2926
"565","1 2018","BMW X3",3228
"566","2 2018","BMW X3",2922
"567","3 2018","BMW X3",3759
"568","4 2018","BMW X3",4436
"569","5 2018","BMW X3",5392
"570","6 2018","BMW X3",7000
"571","7 2018","BMW X3",5294
"572","8 2018","BMW X3",4450
"573","9 2018","BMW X3",7630
"574","10 2018","BMW X3",6285
"575","11 2018","BMW X3",6979
"576","12 2018","BMW X3",6106
"577","1 2019","BMW X3",7874
"578","2 2019","BMW X3",6097
"579","3 2019","BMW X3",6343
"580","4 2019","BMW X3",6230
"581","5 2019","BMW X3",6130
"582","6 2019","BMW X3",6657
"583","7 2019","BMW X3",5741
"584","8 2019","BMW X3",6145
"585","9 2019","BMW X3",8105
"586","10 2019","BMW X3",6336
"587","11 2019","BMW X3",7649
"588","12 2019","BMW X3",8158
"589","1 2020","BMW X3",5964
"590","2 2020","BMW X3",4339
"591","3 2020","BMW X3",4285
"592","4 2020","BMW X3",3930
"593","5 2020","BMW X3",5421
"594","6 2020","BMW X3",5507
"595","7 2020","BMW X3",4870
"596","8 2020","BMW X3",4284
"597","9 2020","BMW X3",6940
"598","10 2020","BMW X3",NA
"599","11 2020","BMW X3",NA
"600","12 2020","BMW X3",NA
"601","1 2016","BMW X4",1818
"602","2 2016","BMW X4",1474
"603","3 2016","BMW X4",2576
"604","4 2016","BMW X4",2052
"605","5 2016","BMW X4",2329
"606","6 2016","BMW X4",2649
"607","7 2016","BMW X4",1910
"608","8 2016","BMW X4",1381
"609","9 2016","BMW X4",2608
"610","10 2016","BMW X4",1968
"611","11 2016","BMW X4",2109
"612","12 2016","BMW X4",1966
"613","1 2017","BMW X4",1863
"614","2 2017","BMW X4",1565
"615","3 2017","BMW X4",2542
"616","4 2017","BMW X4",1775
"617","5 2017","BMW X4",1973
"618","6 2017","BMW X4",2309
"619","7 2017","BMW X4",1716
"620","8 2017","BMW X4",1259
"621","9 2017","BMW X4",2019
"622","10 2017","BMW X4",1521
"623","11 2017","BMW X4",1676
"624","12 2017","BMW X4",1663
"625","1 2018","BMW X4",1105
"626","2 2018","BMW X4",1504
"627","3 2018","BMW X4",2198
"628","4 2018","BMW X4",1171
"629","5 2018","BMW X4",797
"630","6 2018","BMW X4",1074
"631","7 2018","BMW X4",1571
"632","8 2018","BMW X4",1189
"633","9 2018","BMW X4",1674
"634","10 2018","BMW X4",1856
"635","11 2018","BMW X4",2090
"636","12 2018","BMW X4",1714
"637","1 2019","BMW X4",2211
"638","2 2019","BMW X4",1566
"639","3 2019","BMW X4",2298
"640","4 2019","BMW X4",2110
"641","5 2019","BMW X4",2555
"642","6 2019","BMW X4",2412
"643","7 2019","BMW X4",1980
"644","8 2019","BMW X4",1597
"645","9 2019","BMW X4",2502
"646","10 2019","BMW X4",2362
"647","11 2019","BMW X4",2225
"648","12 2019","BMW X4",2616
"649","1 2020","BMW X4",1711
"650","2 2020","BMW X4",1483
"651","3 2020","BMW X4",1136
"652","4 2020","BMW X4",738
"653","5 2020","BMW X4",1251
"654","6 2020","BMW X4",1666
"655","7 2020","BMW X4",1660
"656","8 2020","BMW X4",1287
"657","9 2020","BMW X4",1717
"658","10 2020","BMW X4",NA
"659","11 2020","BMW X4",NA
"660","12 2020","BMW X4",NA
"661","1 2016","BMW X5",2738
"662","2 2016","BMW X5",2281
"663","3 2016","BMW X5",4292
"664","4 2016","BMW X5",3208
"665","5 2016","BMW X5",3012
"666","6 2016","BMW X5",3994
"667","7 2016","BMW X5",2837
"668","8 2016","BMW X5",1607
"669","9 2016","BMW X5",4211
"670","10 2016","BMW X5",2887
"671","11 2016","BMW X5",2866
"672","12 2016","BMW X5",3164
"673","1 2017","BMW X5",3100
"674","2 2017","BMW X5",2206
"675","3 2017","BMW X5",4966
"676","4 2017","BMW X5",2753
"677","5 2017","BMW X5",3088
"678","6 2017","BMW X5",3874
"679","7 2017","BMW X5",2422
"680","8 2017","BMW X5",1449
"681","9 2017","BMW X5",2873
"682","10 2017","BMW X5",2365
"683","11 2017","BMW X5",2699
"684","12 2017","BMW X5",2846
"685","1 2018","BMW X5",2881
"686","2 2018","BMW X5",1835
"687","3 2018","BMW X5",4015
"688","4 2018","BMW X5",2326
"689","5 2018","BMW X5",2722
