region;Time;Total;Petroleum products;Liquefied petroleum gases;Diesel;Natural Gas;Electricity;Alternative Energy;Petrol_excluding hybrids  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric;Diesel_excluding hybrids;Hybrid diesel-electric;Plug-in hybrid diesel-electric;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
Hungary;2017;3471997;2365797;16;1055268;1054;1996;50932;2365797;0;0;1055268;0;0;0;0;2;27652;20212
Hungary;2018;3641823;2445468;17;1131685;1104;3839;64670;2445468;0;0;1131685;0;0;0;0;1;28394;31315
Malta;2012;249612;175286;1;73946;0;38;380;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;341
Malta;2013;256096;178459;1;77380;2;59;257;178144;315;NA;77379;1;NA;NA;NA;NA;135;60
Malta;2014;265950;183794;2;81620;0;87;536;183447;347;NA;81616;4;NA;0;0;0;445;0
Malta;2015;275380;189345;2;85178;1;136;866;188922;423;NA;85169;9;NA;0;0;0;704;14
Malta;2016;282921;193753;2;88061;2;140;1107;193179;574;NA;88048;13;NA;0;0;0;963;0
Malta;2017;291664;198408;3;91858;1;189;1398;197567;841;NA;90838;20;NA;0;0;0;1205;0
Malta;2018;300140;203319;5;94870;0;603;NA;201912;1407;NA;94841;29;NA;0;0;0;1343;0
Netherlands;2012;7916000;6278000;202000;1340000;2000;91000;299000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000
Netherlands;2013;7932290;NA;186366;NA;4000;NA;NA;6289890;NA;NA;1320088;NA;NA;NA;NA;NA;NA;NA
Netherlands;2014;7979083;NA;168234;NA;NA;NA;NA;6331816;NA;NA;1313752;NA;NA;NA;NA;NA;NA;NA
Netherlands;2015;8100864;NA;154842;NA;NA;NA;NA;6401864;NA;NA;1323320;NA;NA;NA;NA;NA;NA;NA
Netherlands;2016;8222974;NA;143542;NA;NA;NA;NA;6509025;NA;NA;1314225;NA;NA;NA;NA;NA;NA;NA
Netherlands;2017;8373244;NA;132989;NA;NA;NA;NA;6649496;NA;NA;1306960;NA;NA;NA;NA;NA;NA;NA
Netherlands;2018;8530584;NA;123669;NA;NA;NA;NA;6804125;NA;NA;1275081;NA;NA;NA;NA;NA;NA;NA
Austria;2012;4584000;2001000;0;2570000;2000;1000;13000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10000
Austria;2013;4641308;2013748;1;2621588;2219;2070;5972;2003699;9664;385;2621133;432;23;NA;NA;NA;1682;NA
