"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2016,"63,299","64,843","116,563","81,677","84,955","10,313","71,007","55,345","113,916","8,055","85,399","85,998"
"2",2017,"72,835","67,905","130,503","79,408","90,253","10,264","72,276","58,426","111,694","74,768","87,703","91,467"
"3",2018,"7,688","67,977","122,391","78,188","84,977","111,858","74,253","61,458","101,678","85,113","8,646","83,785"
"4",2019,"72,372","65,031","122,432","86,323","88,904","99,877","77,575","56,177","102,299","87,074","85,959","96,657"
"5",2020,"","","","","","","","","","","",""
