"","2016","2017","2018","2019","2020"
"January","371","237","846","537","209"
"February","350","295","888","533","247"
"March","797","624","1.389","780","204"
"April","498","280","1.096","557","111"
"May","519","228","898","530","97"
"June","608","301","1.161","428","173"
"July","327","442","805","407","230"
"August","262","167","566","365","165"
"September","785","501","913","327","171"
"October","427","661","761","320",NA
"November","338","1.031","788","282",NA
"December","450","843","592","296",NA
