"","2016","2017","2018","2019","2020"
"January","5.198","4.792","9.899","6.507","6.206"
"February","6.030","6.749","7.613","6.301","6.233"
"March","9.258","11.274","11.856","10.990","5.266"
"April","7.003","6.988","9.597","7.738","2.357"
"May","6.876","9.847","8.505","8.285","2.446"
"June","7.776","11.643","11.112","7.768","4.751"
"July","5.979","9.198","7.843","6.280","6.057"
"August","4.578","8.173","5.734","4.494","4.495"
"September","8.732","13.593","10.007","8.012","6.549"
"October","5.931","8.701","8.737","7.441",NA
"November","7.862","9.012","8.222","7.129",NA
"December","6.376","9.983","9.533","8.381",NA
