"","2016","2017","2018","2019","2020"
"January","9.092","8.423","7.955","6.872","12.543"
"February","11.424","10.083","7.140","6.545","10.613"
"March","17.785","18.949","13.371","12.748","11.772"
"April","11.507","10.520","8.270","10.251","4.029"
"May","12.693","10.707","9.001","11.466","4.053"
"June","13.703","13.414","11.623","11.246","9.130"
"July","10.946","9.506","8.823","8.527","13.192"
"August","6.843","7.435","7.055","6.333","7.683"
"September","15.816","12.017","10.085","12.805","9.137"
"October","11.202","7.684","9.354","11.101",NA
"November","12.423","9.877","8.360","13.233",NA
"December","11.127","10.438","5.954","13.410",NA
